Question ID,Prompt,Response,Category,Book,Chapter and Verse,Value,Code,Board
20,"In this town, Jesus drove an evil spirit out of a man who called him the Holy One of God",Where is Capernaum,Bible Geography,,,400,"<div class=""clue jbg"" rel=""#20""><h2 class=""value"">400</h2> </div><div class=""apple_overlay"" id=""20""> <p class=""prompt"">In this town, Jesus drove an evil spirit out of a man who called him the Holy One of God</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Capernaum ( )</p></div></div>",3
21,,Where is Giza,Bible Geography,,,,"<div class=""clue jbg"" rel=""#21""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""21""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Giza ( )</p></div></div>",
22,,Where is Rome,Bible Geography,,,,"<div class=""clue jbg"" rel=""#22""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""22""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Rome ( )</p></div></div>",
23,,Where is Ephesus,Bible Geography,,,,"<div class=""clue jbg"" rel=""#23""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""23""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Ephesus ( )</p></div></div>",
24,,Where is Casaerea Phillipi,Bible Geography,,,,"<div class=""clue jbg"" rel=""#24""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""24""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Casaerea Phillipi ( )</p></div></div>",
25,,Where is Sidon,Bible Geography,,,,"<div class=""clue jbg"" rel=""#25""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""25""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Sidon ( )</p></div></div>",
26,,Where is Tyre,Bible Geography,,,,"<div class=""clue jbg"" rel=""#26""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""26""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Tyre ( )</p></div></div>",
27,Jesus met the woman at Jacob's well in this town,Where is Sychar,Bible Geography,John,4:4-13,500,"<div class=""clue jbg"" rel=""#27""><h2 class=""value"">500</h2> </div><div class=""apple_overlay"" id=""27""> <p class=""prompt"">Jesus met the woman at Jacob's well in this town</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Sychar (John 4:4-13)</p></div></div>",3
28,,Where is Bethany,Bible Geography,,,,"<div class=""clue jbg"" rel=""#28""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""28""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Bethany ( )</p></div></div>",
29,,Where is Samaria,Bible Geography,,,,"<div class=""clue jbg"" rel=""#29""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""29""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Samaria ( )</p></div></div>",
30,,Where is Damascus,Bible Geography,,,,"<div class=""clue jbg"" rel=""#30""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""30""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Damascus ( )</p></div></div>",
31,,Where is Joppa,Bible Geography,,,,"<div class=""clue jbg"" rel=""#31""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""31""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Joppa ( )</p></div></div>",
32,,Where is Mount Nebo,Bible Geography,,,,"<div class=""clue jbg"" rel=""#32""><h2 class=""value""></h2> </div><div class=""apple_overlay"" id=""32""> <p class=""prompt""></p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Mount Nebo ( )</p></div></div>",
33,There are this many books in the New Testament,What is 27 books,Books of the Bible,,,10,"<div class=""clue jbg"" rel=""#33""><h2 class=""value"">10</h2> </div><div class=""apple_overlay"" id=""33""> <p class=""prompt"">There are this many books in the New Testament</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is 27 books ( )</p></div></div>",1
34,There are this many books in the Old Testament,What is 39 books,Books of the Bible,,,20,"<div class=""clue jbg"" rel=""#34""><h2 class=""value"">20</h2> </div><div class=""apple_overlay"" id=""34""> <p class=""prompt"">There are this many books in the Old Testament</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is 39 books ( )</p></div></div>",1
35,"the books of Psalms, Proverbs, Ecclesiastes, and Song of Songs",What are the Poetry Books,Books of the Bible,,,30,"<div class=""clue jbg"" rel=""#35""><h2 class=""value"">30</h2> </div><div class=""apple_overlay"" id=""35""> <p class=""prompt"">the books of Psalms, Proverbs, Ecclesiastes, and Song of Songs</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What are the Poetry Books ( )</p></div></div>",1
36,"the books of Isaiah, Jeremiah, Lamentations, Ezekiel, and Daniel",Who are the Major Prophets,Books of the Bible,,,40,"<div class=""clue jbg"" rel=""#36""><h2 class=""value"">40</h2> </div><div class=""apple_overlay"" id=""36""> <p class=""prompt"">the books of Isaiah, Jeremiah, Lamentations, Ezekiel, and Daniel</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who are the Major Prophets ( )</p></div></div>",1
37,"the books of Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah, and Malachi",Who are the Minor Prophets,Books of the Bible,,,50,"<div class=""clue jbg"" rel=""#37""><h2 class=""value"">50</h2> </div><div class=""apple_overlay"" id=""37""> <p class=""prompt"">the books of Hosea, Joel, Amos, Obadiah, Jonah, Micah, Nahum, Habakkuk, Zephaniah, Haggai, Zechariah, and Malachi</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who are the Minor Prophets ( )</p></div></div>",1
38,This is the last book in the New Testament,What is Revelation,Books of the Bible,Revelation,1:1,50,"<div class=""clue jbg"" rel=""#38""><h2 class=""value"">50</h2> </div><div class=""apple_overlay"" id=""38""> <p class=""prompt"">This is the last book in the New Testament</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is Revelation (Revelation 1:1)</p></div></div>",2
39,"the Pentateuch (or Five Books of Moses), the History, Poetry Book, Major Prophets, and Minor Prophets",What are the sections or divisions of the Old Testament,Books of the Bible,,,100,"<div class=""clue jbg"" rel=""#39""><h2 class=""value"">100</h2> </div><div class=""apple_overlay"" id=""39""> <p class=""prompt"">the Pentateuch (or Five Books of Moses), the History, Poetry Book, Major Prophets, and Minor Prophets</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What are the sections or divisions of the Old Testament ( )</p></div></div>",2
40,this book is the gospel of the second chance,What is Jonah,Books of the Bible,Jonah,3:1-4,150,"<div class=""clue jbg"" rel=""#40""><h2 class=""value"">150</h2> </div><div class=""apple_overlay"" id=""40""> <p class=""prompt"">this book is the gospel of the second chance</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is Jonah (Jonah 3:1-4)</p></div></div>",2
41,The 1st book after the Law section of the Bible,Joshua,Books of the Bible,Joshua,1:1,200,"<div class=""clue jbg"" rel=""#41""><h2 class=""value"">200</h2> </div><div class=""apple_overlay"" id=""41""> <p class=""prompt"">The 1st book after the Law section of the Bible</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Joshua (Joshua 1:1)</p></div></div>",2
42,Name 13 books Paul wrote,"What are Romans, I Corinthians, II Corinthians, Galations, Ephesians, Phillipians, Colossians, I Thessalonians, II Thessalonians, I Timothy, II Timothy, Titus, Philemon",Books of the Bible,,,250,"<div class=""clue jbg"" rel=""#42""><h2 class=""value"">250</h2> </div><div class=""apple_overlay"" id=""42""> <p class=""prompt"">Name 13 books Paul wrote</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What are Romans, I Corinthians, II Corinthians, Galations, Ephesians, Phillipians, Colossians, I Thessalonians, II Thessalonians, I Timothy, II Timothy, Titus, Philemon ( )</p></div></div>",2
43,This book precedes Matthew and follows Zechariah; it's the last book in the Minor Prophets,What is the Book of Malachi,Books of the Bible,Malachi,1:1,100,"<div class=""clue jbg"" rel=""#43""><h2 class=""value"">100</h2> </div><div class=""apple_overlay"" id=""43""> <p class=""prompt"">This book precedes Matthew and follows Zechariah; it's the last book in the Minor Prophets</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is the Book of Malachi (Malachi 1:1)</p></div></div>",3
44,There are this many books in the Bible,What is 66 books,Books of the Bible,,,200,"<div class=""clue jbg"" rel=""#44""><h2 class=""value"">200</h2> </div><div class=""apple_overlay"" id=""44""> <p class=""prompt"">There are this many books in the Bible</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is 66 books ( )</p></div></div>",3
45,The Bible has this many divisions/sections,"What is 8 (Law, Old Testament History, Poetry, Prophets, Gospels, New Testament History, Epistles, Prophecy)",Books of the Bible,,,300,"<div class=""clue jbg"" rel=""#45""><h2 class=""value"">300</h2> </div><div class=""apple_overlay"" id=""45""> <p class=""prompt"">The Bible has this many divisions/sections</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is 8 (Law, Old Testament History, Poetry, Prophets, Gospels, New Testament History, Epistles, Prophecy) ( )</p></div></div>",3
46,Name 5 books John wrote,"What are John, I John, II John, III John, and Revalation",Books of the Bible,,,400,"<div class=""clue jbg"" rel=""#46""><h2 class=""value"">400</h2> </div><div class=""apple_overlay"" id=""46""> <p class=""prompt"">Name 5 books John wrote</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What are John, I John, II John, III John, and Revalation ( )</p></div></div>",3
47,This Old Testament book prophesied the virgin birth of Immanuel,What is the Book of Isaiah,Books of the Bible,Isaiah,7:14,500,"<div class=""clue jbg"" rel=""#47""><h2 class=""value"">500</h2> </div><div class=""apple_overlay"" id=""47""> <p class=""prompt"">This Old Testament book prophesied the virgin birth of Immanuel</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is the Book of Isaiah (Isaiah 7:14)</p></div></div>",3
48,Jesus is this to God,What/Who is Son of God?,Jesus,Matthew,3:17,10,"<div class=""clue jbg"" rel=""#48""><h2 class=""value"">10</h2> </div><div class=""apple_overlay"" id=""48""> <p class=""prompt"">Jesus is this to God</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What/Who is Son of God? (Matthew 3:17)</p></div></div>",1
49,he baptized Jesus,Who is John the Baptist,Jesus,Matthew,3:13-17,20,"<div class=""clue jbg"" rel=""#49""><h2 class=""value"">20</h2> </div><div class=""apple_overlay"" id=""49""> <p class=""prompt"">he baptized Jesus</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is John the Baptist (Matthew 3:13-17)</p></div></div>",1
50,This is where Jesus was buried,What is  Joseph of Arimathea's tomb,Jesus,Matthew,27:57-66,30,"<div class=""clue jbg"" rel=""#50""><h2 class=""value"">30</h2> </div><div class=""apple_overlay"" id=""50""> <p class=""prompt"">This is where Jesus was buried</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is  Joseph of Arimathea's tomb (Matthew 27:57-66)</p></div></div>",1
51,Pilate asked Jesus this when he was arrested,Are you the King of the Jews,Jesus,Luke,23:3,40,"<div class=""clue jbg"" rel=""#51""><h2 class=""value"">40</h2> </div><div class=""apple_overlay"" id=""51""> <p class=""prompt"">Pilate asked Jesus this when he was arrested</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Are you the King of the Jews (Luke 23:3)</p></div></div>",1
52,This was Jesus's first miracle,What is turning water into wine,Jesus,John,2:1-11,50,"<div class=""clue jbg"" rel=""#52""><h2 class=""value"">50</h2> </div><div class=""apple_overlay"" id=""52""> <p class=""prompt"">This was Jesus's first miracle</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is turning water into wine (John 2:1-11)</p></div></div>",1
53,The Savior,Who is Jesus?,Jesus,Luke,2:11,50,"<div class=""clue jbg"" rel=""#53""><h2 class=""value"">50</h2> </div><div class=""apple_overlay"" id=""53""> <p class=""prompt"">The Savior</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Jesus? (Luke 2:11)</p></div></div>",2
54,All who look to the Son and believe in him will have this,What is eternal life,Jesus,John,6:40,100,"<div class=""clue jbg"" rel=""#54""><h2 class=""value"">100</h2> </div><div class=""apple_overlay"" id=""54""> <p class=""prompt"">All who look to the Son and believe in him will have this</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is eternal life (John 6:40)</p></div></div>",2
55,"On this day, Jesus rose from the dead",What is on the third day,Jesus,Luke,24,100,"<div class=""clue jbg"" rel=""#55""><h2 class=""value"">100</h2> </div><div class=""apple_overlay"" id=""55""> <p class=""prompt"">On this day, Jesus rose from the dead</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is on the third day (Luke 24)</p></div></div>",3
56,Jesus raised this man from the dead,Who is Lazurus,Jesus,John,11:1-44,150,"<div class=""clue jbg"" rel=""#56""><h2 class=""value"">150</h2> </div><div class=""apple_overlay"" id=""56""> <p class=""prompt"">Jesus raised this man from the dead</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Lazurus (John 11:1-44)</p></div></div>",2
57,Age at which Jesus attended his first Passover,What is 12 years of age,Jesus,Luke,2:41-50,200,"<div class=""clue jbg"" rel=""#57""><h2 class=""value"">200</h2> </div><div class=""apple_overlay"" id=""57""> <p class=""prompt"">Age at which Jesus attended his first Passover</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is 12 years of age (Luke 2:41-50)</p></div></div>",2
58,"With this many loaves of bread and this many fish, Jesus fed this many people (3 Part Answer)","What is 5 loaves of bread, 2 fish, and 5000 people",Jesus,John,6:9-15,250,"<div class=""clue jbg"" rel=""#58""><h2 class=""value"">250</h2> </div><div class=""apple_overlay"" id=""58""> <p class=""prompt"">With this many loaves of bread and this many fish, Jesus fed this many people (3 Part Answer)</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is 5 loaves of bread, 2 fish, and 5000 people (John 6:9-15)</p></div></div>",2
59,In memory of Jesus we give thanks in this way,What is the Lord's Supper,Jesus,1 Corinthinans,11:24,200,"<div class=""clue jbg"" rel=""#59""><h2 class=""value"">200</h2> </div><div class=""apple_overlay"" id=""59""> <p class=""prompt"">In memory of Jesus we give thanks in this way</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is the Lord's Supper (1 Corinthinans 11:24)</p></div></div>",3
60,First town in which Jesus began his ministry and was rejected,Where is Nazereth,Jesus,Luke,4:14-16,300,"<div class=""clue jbg"" rel=""#60""><h2 class=""value"">300</h2> </div><div class=""apple_overlay"" id=""60""> <p class=""prompt"">First town in which Jesus began his ministry and was rejected</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Where is Nazereth (Luke 4:14-16)</p></div></div>",3
61,Age at which Jesus started his ministry,What is 30 years of age,Jesus,Luke,3:23,400,"<div class=""clue jbg"" rel=""#61""><h2 class=""value"">400</h2> </div><div class=""apple_overlay"" id=""61""> <p class=""prompt"">Age at which Jesus started his ministry</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is 30 years of age (Luke 3:23)</p></div></div>",3
62,Jesus perfomed this miracle on the Sabbath,What is healing the man who was born blind,Jesus,John,9,500,"<div class=""clue jbg"" rel=""#62""><h2 class=""value"">500</h2> </div><div class=""apple_overlay"" id=""62""> <p class=""prompt"">Jesus perfomed this miracle on the Sabbath</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is healing the man who was born blind (John 9)</p></div></div>",3
63,this man betrayed Jesus,Who is Judas Iscariat,New Testament,Matthew,26:14-16,10,"<div class=""clue jbg"" rel=""#63""><h2 class=""value"">10</h2> </div><div class=""apple_overlay"" id=""63""> <p class=""prompt"">this man betrayed Jesus</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Judas Iscariat (Matthew 26:14-16)</p></div></div>",1
64,"Saul, an apostle later was known by this name",Who is Paul?,New Testament,Acts,13:9,20,"<div class=""clue jbg"" rel=""#64""><h2 class=""value"">20</h2> </div><div class=""apple_overlay"" id=""64""> <p class=""prompt"">Saul, an apostle later was known by this name</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Paul? (Acts 13:9)</p></div></div>",1
65,This apostle walked on water,Who is Peter?,New Testament,Matthew,14:28-29,30,"<div class=""clue jbg"" rel=""#65""><h2 class=""value"">30</h2> </div><div class=""apple_overlay"" id=""65""> <p class=""prompt"">This apostle walked on water</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Peter? (Matthew 14:28-29)</p></div></div>",1
66,"love, joy, peace, patience (or longsuffering), kindness, goodness, faithfulness, gentleness, and self-control",What is the Fruit of the Spirit,New Testament,Galatians,5:22-23,40,"<div class=""clue jbg"" rel=""#66""><h2 class=""value"">40</h2> </div><div class=""apple_overlay"" id=""66""> <p class=""prompt"">love, joy, peace, patience (or longsuffering), kindness, goodness, faithfulness, gentleness, and self-control</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is the Fruit of the Spirit (Galatians 5:22-23)</p></div></div>",1
67,at this point the Trinity was revealed,When is Jesus's Baptism,New Testament,Matthew,3:16-17,50,"<div class=""clue jbg"" rel=""#67""><h2 class=""value"">50</h2> </div><div class=""apple_overlay"" id=""67""> <p class=""prompt"">at this point the Trinity was revealed</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">When is Jesus's Baptism (Matthew 3:16-17)</p></div></div>",1
68,The fruit of the vine and unleavened bread represent this during the Lord's Supper,What is the blood of the covenant and body of Jesus,New Testament,Matthew,26:26-29,50,"<div class=""clue jbg"" rel=""#68""><h2 class=""value"">50</h2> </div><div class=""apple_overlay"" id=""68""> <p class=""prompt"">The fruit of the vine and unleavened bread represent this during the Lord's Supper</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is the blood of the covenant and body of Jesus (Matthew 26:26-29)</p></div></div>",2
69,This Roman governor presided over Judea during the trial of Jesus,Who is Pontius Pilate,New Testament,Matthew,27:2,100,"<div class=""clue jbg"" rel=""#69""><h2 class=""value"">100</h2> </div><div class=""apple_overlay"" id=""69""> <p class=""prompt"">This Roman governor presided over Judea during the trial of Jesus</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Pontius Pilate (Matthew 27:2)</p></div></div>",2
70,These men came from the East to worship Jesus after he was born,Who are the Magi,New Testament,Matthew,2:1-12,100,"<div class=""clue jbg"" rel=""#70""><h2 class=""value"">100</h2> </div><div class=""apple_overlay"" id=""70""> <p class=""prompt"">These men came from the East to worship Jesus after he was born</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who are the Magi (Matthew 2:1-12)</p></div></div>",3
71,Name the 12 apostles,"Who are Simon called Peter, Andrew, James, John, Philip, Bartholomew, Thomas, Matthew,  James the son of Alphaeus, Thaddeus called Jude, Simon, and Judas Iscariot",New Testament,Matthew,10:2-4,150,"<div class=""clue jbg"" rel=""#71""><h2 class=""value"">150</h2> </div><div class=""apple_overlay"" id=""71""> <p class=""prompt"">Name the 12 apostles</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who are Simon called Peter, Andrew, James, John, Philip, Bartholomew, Thomas, Matthew,  James the son of Alphaeus, Thaddeus called Jude, Simon, and Judas Iscariot (Matthew 10:2-4)</p></div></div>",2
72,King Herod promised this to his daughter on his birthday,What is John the Baptist's head,New Testament,John,6:21-28,200,"<div class=""clue jbg"" rel=""#72""><h2 class=""value"">200</h2> </div><div class=""apple_overlay"" id=""72""> <p class=""prompt"">King Herod promised this to his daughter on his birthday</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">What is John the Baptist's head (John 6:21-28)</p></div></div>",2
73,he took Judas Iscariot's place as an apostle,Who is Matthias,New Testament,Acts,1:26,250,"<div class=""clue jbg"" rel=""#73""><h2 class=""value"">250</h2> </div><div class=""apple_overlay"" id=""73""> <p class=""prompt"">he took Judas Iscariot's place as an apostle</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Matthias (Acts 1:26)</p></div></div>",2
74,This group was the ruling council of the Jews and plotted to kill Jesus,Who are the Sanhedrin,New Testament,John,11:47-53,200,"<div class=""clue jbg"" rel=""#74""><h2 class=""value"">200</h2> </div><div class=""apple_overlay"" id=""74""> <p class=""prompt"">This group was the ruling council of the Jews and plotted to kill Jesus</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who are the Sanhedrin (John 11:47-53)</p></div></div>",3
75,he cut off the ear of the high priest,Who is Peter?,New Testament,John,18:10,300,"<div class=""clue jbg"" rel=""#75""><h2 class=""value"">300</h2> </div><div class=""apple_overlay"" id=""75""> <p class=""prompt"">he cut off the ear of the high priest</p><div class=""slider""><span class=""button"">Reveal Answer</span><p class=""response"">Who is Peter? (John 18:10)</p></div></div>",3
